1,Equipo médico,Equipo médico necesario para la tarea de Atender heridos.
2,Herramientas de construcción,Herramientas de construcción necesarias para la tarea de Extraer escombros.
3,Extintores,Extintores necesarios para la tarea de Apagar fuego.
4,Linternas,Linternas necesarias para la tarea de Guiar a lugar seguro.
5,Señales de SOS,Señales de SOS necesarias para la tarea de Realizar SOS.
6,Material de cubierta para conductos de ventilación,Material necesario para asegurar los conductos de ventilación en situaciones críticas.
7,Cuerdas,Cuerdas necesarias para la tarea de Ayudar a subir a un lugar alto.
8,Vehículos de transporte,Vehículos de transporte necesarios para la tarea de Ayudar a evacuar las casas.
9,Equipamiento de comunicación,Equipamiento de comunicación necesario para la tarea de Establecer centro de comandos.
10,Alimentos,Alimentos necesarios para la tarea de Suministrar alimentos.
11,Kits de evaluación de daños,Kits de evaluación de daños necesarios para la tarea de Evaluar daños.
12,Material de apoyo psicológico,Material de apoyo psicológico necesario para la tarea de Atender psicológicamente.
